+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
+------+---------------------------------------------------------------------------------+------------------------+---------------+
|  1   |                                 NCGC00388356-01                                 | SARS-CoV2 3CL Protease |      0.77     |
|  2   |                 NCGC00024995-13&NCGC00024995-15&NCGC00024995-43                 | SARS-CoV2 3CL Protease |      0.91     |
|  3   |                                 NCGC00379061-01                                 | SARS-CoV2 3CL Protease |      0.94     |
|  4   |                                 NCGC00384925-01                                 | SARS-CoV2 3CL Protease |      1.19     |
|  5   |                                 NCGC00485028-01                                 | SARS-CoV2 3CL Protease |      1.26     |
|  6   |                                 NCGC00351475-07                                 | SARS-CoV2 3CL Protease |      1.32     |
|  7   |                                 NCGC00481403-01                                 | SARS-CoV2 3CL Protease |      1.34     |
|  8   |                                 NCGC00169033-03                                 | SARS-CoV2 3CL Protease |      1.47     |
|  9   |                                 NCGC00319019-01                                 | SARS-CoV2 3CL Protease |      1.50     |
|  10  |                                 NCGC00385608-01                                 | SARS-CoV2 3CL Protease |      1.59     |
|  11  |                                 NCGC00346874-02                                 | SARS-CoV2 3CL Protease |      1.67     |
|  12  |                                 NCGC00351472-01                                 | SARS-CoV2 3CL Protease |      1.76     |
|  13  |                                 NCGC00386132-02                                 | SARS-CoV2 3CL Protease |      1.79     |
|  14  |                         NCGC00346704-03&NCGC00346704-07                         | SARS-CoV2 3CL Protease |      1.82     |
|  15  |                         NCGC00346502-04&NCGC00346502-06                         | SARS-CoV2 3CL Protease |      1.99     |
|  16  |                                 NCGC00381209-01                                 | SARS-CoV2 3CL Protease |      2.27     |
|  17  |                                 NCGC00346661-05                                 | SARS-CoV2 3CL Protease |      2.30     |
|  18  |                                 NCGC00164367-10                                 | SARS-CoV2 3CL Protease |      2.30     |
|  19  |                                 NCGC00507871-01                                 | SARS-CoV2 3CL Protease |      2.31     |
|  20  |                                 NCGC00372530-03                                 | SARS-CoV2 3CL Protease |      2.37     |
|  21  |                         NCGC00345853-02&NCGC00345853-03                         | SARS-CoV2 3CL Protease |      2.50     |
|  22  |                                 NCGC00378858-01                                 | SARS-CoV2 3CL Protease |      2.68     |
|  23  |                                 NCGC00380304-01                                 | SARS-CoV2 3CL Protease |      2.71     |
|  24  |                                 NCGC00378611-03                                 | SARS-CoV2 3CL Protease |      2.91     |
|  25  |                         NCGC00167958-03&NCGC00167958-05                         | SARS-CoV2 3CL Protease |      2.97     |
|  26  |                                 NCGC00522037-01                                 | SARS-CoV2 3CL Protease |      3.00     |
|  27  |                                 NCGC00261273-01                                 | SARS-CoV2 3CL Protease |      3.29     |
|  28  |                                 NCGC00094321-03                                 | SARS-CoV2 3CL Protease |      3.39     |
|  29  |                 NCGC00378896-02&NCGC00378896-03&NCGC00378896-04                 | SARS-CoV2 3CL Protease |      3.69     |
|  30  |                                 NCGC00163474-07                                 | SARS-CoV2 3CL Protease |      3.78     |
|  31  |                 NCGC00015453-06&NCGC00015453-08&NCGC00015453-10                 | SARS-CoV2 3CL Protease |      3.79     |
|  32  |                                 NCGC00385607-01                                 | SARS-CoV2 3CL Protease |      3.96     |
|  33  |                                 NCGC00167444-04                                 | SARS-CoV2 3CL Protease |      3.99     |
|  34  |                                 NCGC00162109-02                                 | SARS-CoV2 3CL Protease |      3.99     |
|  35  |                                 NCGC00483117-01                                 | SARS-CoV2 3CL Protease |      4.15     |
|  36  |                                 NCGC00384598-01                                 | SARS-CoV2 3CL Protease |      4.18     |
|  37  |                                 NCGC00380182-01                                 | SARS-CoV2 3CL Protease |      4.25     |
|  38  |                         NCGC00021301-06&NCGC00021301-09                         | SARS-CoV2 3CL Protease |      4.29     |
|  39  |                         NCGC00163411-06&NCGC00163411-07                         | SARS-CoV2 3CL Protease |      4.36     |
|  40  |                                 NCGC00169806-03                                 | SARS-CoV2 3CL Protease |      4.37     |
|  41  |                                 NCGC00386273-01                                 | SARS-CoV2 3CL Protease |      4.53     |
|  42  |                                 NCGC00179580-04                                 | SARS-CoV2 3CL Protease |      4.60     |
|  43  |                                 NCGC00380769-01                                 | SARS-CoV2 3CL Protease |      4.61     |
|  44  |                                 NCGC00389334-01                                 | SARS-CoV2 3CL Protease |      4.63     |
