+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
+------+---------------------------------------------------------------------------------+------------------------+---------------+
|  1   |                         NCGC00179244-03&NCGC00179244-11                         | SARS-CoV2 3CL Protease |      0.21     |
|  2   |                                 NCGC00507871-01                                 | SARS-CoV2 3CL Protease |      0.25     |
|  3   |                         NCGC00013556-15&NCGC00021752-04                         | SARS-CoV2 3CL Protease |      0.34     |
|  4   |                         NCGC00163470-27&NCGC00163470-28                         | SARS-CoV2 3CL Protease |      0.37     |
|  5   |                                 NCGC00247954-03                                 | SARS-CoV2 3CL Protease |      0.43     |
|  6   |                         NCGC00179542-03&NCGC00179542-09                         | SARS-CoV2 3CL Protease |      0.47     |
|  7   |                                 NCGC00380930-01                                 | SARS-CoV2 3CL Protease |      0.47     |
|  8   |                                 NCGC00378765-02                                 | SARS-CoV2 3CL Protease |      0.47     |
|  9   |                                 NCGC00015196-07                                 | SARS-CoV2 3CL Protease |      0.48     |
|  10  |                                 NCGC00167506-04                                 | SARS-CoV2 3CL Protease |      0.51     |
|  11  |                                 NCGC00094852-04                                 | SARS-CoV2 3CL Protease |      0.51     |
|  12  |                         NCGC00164336-05&NCGC00164336-06                         | SARS-CoV2 3CL Protease |      0.51     |
|  13  |                                 NCGC00385937-01                                 | SARS-CoV2 3CL Protease |      0.52     |
|  14  |                                 NCGC00263139-03                                 | SARS-CoV2 3CL Protease |      0.52     |
|  15  |                         NCGC00347217-01&NCGC00347217-03                         | SARS-CoV2 3CL Protease |      0.53     |
|  16  |                         NCGC00167512-03&NCGC00167512-04                         | SARS-CoV2 3CL Protease |      0.53     |
|  17  |                         NCGC00387801-02&NCGC00387801-04                         | SARS-CoV2 3CL Protease |      0.53     |
|  18  |         NCGC00021305-08&NCGC00021305-16&NCGC00021305-19&NCGC00021305-27         | SARS-CoV2 3CL Protease |      0.55     |
|  19  |                         NCGC00346304-02&NCGC00346304-04                         | SARS-CoV2 3CL Protease |      0.59     |
|  20  |                                 NCGC00378567-02                                 | SARS-CoV2 3CL Protease |      0.62     |
|  21  |                 NCGC00238451-08&NCGC00238451-09&NCGC00238451-11                 | SARS-CoV2 3CL Protease |      0.64     |
|  22  |                                 NCGC00179359-04                                 | SARS-CoV2 3CL Protease |      0.64     |
|  23  |                                 NCGC00185768-03                                 | SARS-CoV2 3CL Protease |      0.64     |
|  24  |                                 NCGC00510692-02                                 | SARS-CoV2 3CL Protease |      0.65     |
|  25  |                                 NCGC00347407-02                                 | SARS-CoV2 3CL Protease |      0.65     |
|  26  |                                 NCGC00385776-01                                 | SARS-CoV2 3CL Protease |      0.68     |
|  27  |                 NCGC00167518-05&NCGC00167518-09&NCGC00167518-12                 | SARS-CoV2 3CL Protease |      0.71     |
|  28  |                                 NCGC00018171-06                                 | SARS-CoV2 3CL Protease |      0.77     |
|  29  |                                 NCGC00242249-05                                 | SARS-CoV2 3CL Protease |      0.77     |
|  30  |                                 NCGC00380314-01                                 | SARS-CoV2 3CL Protease |      0.82     |
|  31  |                                 NCGC00386917-01                                 | SARS-CoV2 3CL Protease |      0.82     |
|  32  |                                 NCGC00385651-01                                 | SARS-CoV2 3CL Protease |      0.82     |
|  33  |                         NCGC00378937-01&NCGC00378937-02                         | SARS-CoV2 3CL Protease |      0.83     |
|  34  |                                 NCGC00387022-02                                 | SARS-CoV2 3CL Protease |      0.83     |
|  35  |                                 NCGC00253562-10                                 | SARS-CoV2 3CL Protease |      0.83     |
|  36  |                         NCGC00167446-02&NCGC00167446-03                         | SARS-CoV2 3CL Protease |      0.83     |
|  37  |                         NCGC00016798-07&NCGC00016798-11                         | SARS-CoV2 3CL Protease |      0.83     |
|  38  |                                 NCGC00169156-03                                 | SARS-CoV2 3CL Protease |      0.85     |
|  39  |                                 NCGC00389505-01                                 | SARS-CoV2 3CL Protease |      0.86     |
|  40  |                                 NCGC00168778-06                                 | SARS-CoV2 3CL Protease |      0.86     |
|  41  |                                 NCGC00249904-01                                 | SARS-CoV2 3CL Protease |      0.86     |
|  42  |                                 NCGC00347946-02                                 | SARS-CoV2 3CL Protease |      0.87     |
|  43  |                                 NCGC00485298-01                                 | SARS-CoV2 3CL Protease |      0.90     |
|  44  |                                 NCGC00485239-01                                 | SARS-CoV2 3CL Protease |      0.90     |
|  45  |                                 NCGC00347526-02                                 | SARS-CoV2 3CL Protease |      0.90     |
|  46  |                                 NCGC00015784-12                                 | SARS-CoV2 3CL Protease |      0.91     |
|  47  |                                 NCGC00380999-01                                 | SARS-CoV2 3CL Protease |      0.92     |
|  48  |                 NCGC00386317-04&NCGC00386317-10&NCGC00386317-11                 | SARS-CoV2 3CL Protease |      0.92     |
|  49  |                 NCGC00091544-12&NCGC00091544-18&NCGC00091544-23                 | SARS-CoV2 3CL Protease |      0.93     |
|  50  |                                 NCGC00507838-01                                 | SARS-CoV2 3CL Protease |      0.93     |
|  51  |                                 NCGC00387865-03                                 | SARS-CoV2 3CL Protease |      0.94     |
|  52  |                                 NCGC00378976-03                                 | SARS-CoV2 3CL Protease |      0.94     |
|  53  |                                 NCGC00388356-01                                 | SARS-CoV2 3CL Protease |      0.94     |
|  54  |                                 NCGC00386619-01                                 | SARS-CoV2 3CL Protease |      0.95     |
|  55  |                                 NCGC00380962-01                                 | SARS-CoV2 3CL Protease |      0.96     |
|  56  |                                 NCGC00346570-04                                 | SARS-CoV2 3CL Protease |      0.96     |
|  57  |                                 NCGC00242489-02                                 | SARS-CoV2 3CL Protease |      0.96     |
|  58  |                                 NCGC00385268-01                                 | SARS-CoV2 3CL Protease |      0.97     |
|  59  |                                 NCGC00247877-09                                 | SARS-CoV2 3CL Protease |      0.97     |
|  60  |                                 NCGC00378650-01                                 | SARS-CoV2 3CL Protease |      1.01     |
|  61  |                                 NCGC00169033-03                                 | SARS-CoV2 3CL Protease |      1.01     |
|  62  |                         NCGC00263183-02&NCGC00263183-10                         | SARS-CoV2 3CL Protease |      1.02     |
|  63  |                                 NCGC00510505-01                                 | SARS-CoV2 3CL Protease |      1.02     |
|  64  |                                 NCGC00346518-02                                 | SARS-CoV2 3CL Protease |      1.03     |
|  65  |                                 NCGC00253670-01                                 | SARS-CoV2 3CL Protease |      1.03     |
|  66  |                                 NCGC00179259-06                                 | SARS-CoV2 3CL Protease |      1.03     |
|  67  |                                 NCGC00380312-01                                 | SARS-CoV2 3CL Protease |      1.04     |
|  68  |                                 NCGC00385055-01                                 | SARS-CoV2 3CL Protease |      1.04     |
|  69  |                                 NCGC00402237-03                                 | SARS-CoV2 3CL Protease |      1.04     |
|  70  |                                 NCGC00480913-01                                 | SARS-CoV2 3CL Protease |      1.05     |
|  71  |                                 NCGC00347533-02                                 | SARS-CoV2 3CL Protease |      1.05     |
|  72  |                                 NCGC00378959-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  73  |                                 NCGC00263110-02                                 | SARS-CoV2 3CL Protease |      1.06     |
|  74  |                                 NCGC00380508-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  75  |                                 NCGC00380573-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  76  |         NCGC00346716-02&NCGC00346716-03&NCGC00346716-14&NCGC00346716-20         | SARS-CoV2 3CL Protease |      1.06     |
|  77  |                                 NCGC00165772-06                                 | SARS-CoV2 3CL Protease |      1.07     |
|  78  |                                 NCGC00380509-01                                 | SARS-CoV2 3CL Protease |      1.07     |
|  79  |                         NCGC00165791-03&NCGC00165791-04                         | SARS-CoV2 3CL Protease |      1.07     |
|  80  |                         NCGC00381558-03&NCGC00381558-06                         | SARS-CoV2 3CL Protease |      1.07     |
|  81  |                         NCGC00345798-03&NCGC00345798-06                         | SARS-CoV2 3CL Protease |      1.09     |
|  82  |                                 NCGC00378820-01                                 | SARS-CoV2 3CL Protease |      1.10     |
|  83  |                                 NCGC00181009-02                                 | SARS-CoV2 3CL Protease |      1.11     |
|  84  |                                 NCGC00261057-01                                 | SARS-CoV2 3CL Protease |      1.12     |
|  85  |                                 NCGC00347396-02                                 | SARS-CoV2 3CL Protease |      1.12     |
|  86  |                                 NCGC00347608-02                                 | SARS-CoV2 3CL Protease |      1.12     |
|  87  |                                 NCGC00092350-02                                 | SARS-CoV2 3CL Protease |      1.13     |
|  88  |                                 NCGC00381230-01                                 | SARS-CoV2 3CL Protease |      1.15     |
|  89  |                                 NCGC00380697-01                                 | SARS-CoV2 3CL Protease |      1.15     |
|  90  |                                 NCGC00016622-11                                 | SARS-CoV2 3CL Protease |      1.16     |
|  91  |                                 NCGC00380311-01                                 | SARS-CoV2 3CL Protease |      1.16     |
|  92  |                                 NCGC00016227-08                                 | SARS-CoV2 3CL Protease |      1.16     |
|  93  |                                 NCGC00386357-01                                 | SARS-CoV2 3CL Protease |      1.17     |
