+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
+------+---------------------------------------------------------------------------------+------------------------+---------------+
|  1   |                                 NCGC00090868-06                                 | SARS-CoV2 3CL Protease |      0.00     |
|  2   |                                 NCGC00482709-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  3   |                                 NCGC00014361-07                                 | SARS-CoV2 3CL Protease |      0.00     |
|  4   |                                 NCGC00385846-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  5   |                                 NCGC00260734-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  6   |                         NCGC00346666-01&NCGC00346666-03                         | SARS-CoV2 3CL Protease |      0.00     |
|  7   |                                 NCGC00386140-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  8   |                                 NCGC00385311-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  9   |                         NCGC00378665-02&NCGC00378665-03                         | SARS-CoV2 3CL Protease |      0.00     |
|  10  |                                 NCGC00381242-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  11  |                                 NCGC00380573-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  12  |                                 NCGC00385643-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  13  |                 NCGC00167518-05&NCGC00167518-09&NCGC00167518-12                 | SARS-CoV2 3CL Protease |      0.00     |
|  14  |                                 NCGC00385448-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  15  |                                 NCGC00185769-02                                 | SARS-CoV2 3CL Protease |      0.00     |
|  16  |                                 NCGC00380529-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  17  |                                 NCGC00385774-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  18  |                                 NCGC00385247-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  19  |                                 NCGC00384854-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  20  |                                 NCGC00384836-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  21  |                                 NCGC00380950-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  22  |                                 NCGC00385237-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  23  |                                 NCGC00380146-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  24  |                                 NCGC00263447-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  25  |                                 NCGC00385157-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  26  |                                 NCGC00485008-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  27  |                                 NCGC00384673-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  28  |                                 NCGC00385711-01                                 | SARS-CoV2 3CL Protease |      0.00     |
|  29  |                                 NCGC00381328-01                                 | SARS-CoV2 3CL Protease |      0.00     |
