+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
+------+---------------------------------------------------------------------------------+------------------------+---------------+
|  1   |                                 NCGC00092350-02                                 | SARS-CoV2 3CL Protease |      0.37     |
|  2   |                         NCGC00263884-02&NCGC00263884-08                         | SARS-CoV2 3CL Protease |      0.40     |
|  3   |                         NCGC00387801-02&NCGC00387801-04                         | SARS-CoV2 3CL Protease |      0.40     |
|  4   |                                 NCGC00386744-01                                 | SARS-CoV2 3CL Protease |      0.43     |
|  5   |                         NCGC00179542-03&NCGC00179542-09                         | SARS-CoV2 3CL Protease |      0.44     |
|  6   |                         NCGC00179244-03&NCGC00179244-11                         | SARS-CoV2 3CL Protease |      0.46     |
|  7   |                                 NCGC00387865-03                                 | SARS-CoV2 3CL Protease |      0.51     |
|  8   |                                 NCGC00378976-03                                 | SARS-CoV2 3CL Protease |      0.51     |
|  9   |                                 NCGC00496840-01                                 | SARS-CoV2 3CL Protease |      0.59     |
|  10  |                                 NCGC00485027-01                                 | SARS-CoV2 3CL Protease |      0.86     |
|  11  |                         NCGC00094082-04&NCGC00094082-08                         | SARS-CoV2 3CL Protease |      0.86     |
|  12  |                         NCGC00347217-01&NCGC00347217-03                         | SARS-CoV2 3CL Protease |      0.87     |
|  13  |                         NCGC00179578-03&NCGC00179578-11                         | SARS-CoV2 3CL Protease |      0.91     |
|  14  |                                 NCGC00179359-04                                 | SARS-CoV2 3CL Protease |      0.96     |
|  15  |                                 NCGC00485883-01                                 | SARS-CoV2 3CL Protease |      0.99     |
|  16  |                                 NCGC00168773-02                                 | SARS-CoV2 3CL Protease |      1.01     |
|  17  |                         NCGC00345790-03&NCGC00345790-10                         | SARS-CoV2 3CL Protease |      1.08     |
|  18  |                 NCGC00016060-08&NCGC00016060-11&NCGC00016060-14                 | SARS-CoV2 3CL Protease |      1.26     |
|  19  |                                 NCGC00247877-09                                 | SARS-CoV2 3CL Protease |      1.26     |
|  20  |                                 NCGC00510692-02                                 | SARS-CoV2 3CL Protease |      1.27     |
|  21  |                                 NCGC00389393-01                                 | SARS-CoV2 3CL Protease |      1.44     |
|  22  |                                 NCGC00164576-04                                 | SARS-CoV2 3CL Protease |      1.44     |
|  23  |                                 NCGC00015318-05                                 | SARS-CoV2 3CL Protease |      1.54     |
|  24  |                                 NCGC00346740-02                                 | SARS-CoV2 3CL Protease |      1.61     |
|  25  |                                 NCGC00167442-03                                 | SARS-CoV2 3CL Protease |      1.61     |
|  26  |                         NCGC00015822-10&NCGC00015822-15                         | SARS-CoV2 3CL Protease |      1.61     |
|  27  |                         NCGC00163470-27&NCGC00163470-28                         | SARS-CoV2 3CL Protease |      1.71     |
|  28  |                                 NCGC00016672-07                                 | SARS-CoV2 3CL Protease |      1.71     |
|  29  |                                 NCGC00379073-05                                 | SARS-CoV2 3CL Protease |      1.88     |
|  30  |                                 NCGC00094321-03                                 | SARS-CoV2 3CL Protease |      1.90     |
|  31  |                                 NCGC00018125-05                                 | SARS-CoV2 3CL Protease |      1.94     |
|  32  |                         NCGC00351607-02&NCGC00351607-06                         | SARS-CoV2 3CL Protease |      2.00     |
|  33  |                                 NCGC00162095-02                                 | SARS-CoV2 3CL Protease |      2.04     |
|  34  |                                 NCGC00015447-04                                 | SARS-CoV2 3CL Protease |      2.10     |
|  35  |                                 NCGC00378837-01                                 | SARS-CoV2 3CL Protease |      2.14     |
|  36  |                         NCGC00023373-03&NCGC00023373-10                         | SARS-CoV2 3CL Protease |      2.21     |
|  37  |                 NCGC00238451-08&NCGC00238451-09&NCGC00238451-11                 | SARS-CoV2 3CL Protease |      2.23     |
|  38  |                         NCGC00092344-05&NCGC00092344-07                         | SARS-CoV2 3CL Protease |      2.38     |
|  39  |                         NCGC00167832-03&NCGC00167832-06                         | SARS-CoV2 3CL Protease |      2.48     |
|  40  |                         NCGC00346304-02&NCGC00346304-04                         | SARS-CoV2 3CL Protease |      2.65     |
|  41  |                                 NCGC00378959-01                                 | SARS-CoV2 3CL Protease |      2.70     |
|  42  |                                 NCGC00485891-01                                 | SARS-CoV2 3CL Protease |      2.80     |
|  43  |                                 NCGC00476094-01                                 | SARS-CoV2 3CL Protease |      2.80     |
|  44  |                                 NCGC00378818-01                                 | SARS-CoV2 3CL Protease |      2.86     |
|  45  |                                 NCGC00378943-01                                 | SARS-CoV2 3CL Protease |      2.92     |
|  46  |                                 NCGC00247878-08                                 | SARS-CoV2 3CL Protease |      2.95     |
|  47  |                                 NCGC00485419-01                                 | SARS-CoV2 3CL Protease |      3.00     |
