+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
+------+---------------------------------------------------------------------------------+------------------------+---------------+
|  1   |                         NCGC00345790-03&NCGC00345790-10                         | SARS-CoV2 3CL Protease |      0.53     |
|  2   |                         NCGC00179578-03&NCGC00179578-11                         | SARS-CoV2 3CL Protease |      0.83     |
|  3   |                                 NCGC00485883-01                                 | SARS-CoV2 3CL Protease |      0.84     |
|  4   |                                 NCGC00014702-17                                 | SARS-CoV2 3CL Protease |      1.30     |
|  5   |                                 NCGC00168773-02                                 | SARS-CoV2 3CL Protease |      1.34     |
|  6   |                                 NCGC00386744-01                                 | SARS-CoV2 3CL Protease |      1.38     |
|  7   |                         NCGC00179542-03&NCGC00179542-09                         | SARS-CoV2 3CL Protease |      1.50     |
|  8   |                                 NCGC00387865-03                                 | SARS-CoV2 3CL Protease |      1.63     |
|  9   |                                 NCGC00378976-03                                 | SARS-CoV2 3CL Protease |      1.63     |
|  10  |                                 NCGC00177979-05                                 | SARS-CoV2 3CL Protease |      1.68     |
|  11  |                                 NCGC00389393-01                                 | SARS-CoV2 3CL Protease |      1.73     |
|  12  |                                 NCGC00164576-04                                 | SARS-CoV2 3CL Protease |      1.73     |
|  13  |                                 NCGC00386145-01                                 | SARS-CoV2 3CL Protease |      1.84     |
|  14  |                                 NCGC00182058-03                                 | SARS-CoV2 3CL Protease |      1.84     |
|  15  |                         NCGC00179244-03&NCGC00179244-11                         | SARS-CoV2 3CL Protease |      1.93     |
|  16  |                         NCGC00263198-04&NCGC00263198-07                         | SARS-CoV2 3CL Protease |      2.04     |
|  17  |                                 NCGC00092350-02                                 | SARS-CoV2 3CL Protease |      2.10     |
|  18  |                 NCGC00238451-08&NCGC00238451-09&NCGC00238451-11                 | SARS-CoV2 3CL Protease |      2.11     |
|  19  |                         NCGC00344622-10&NCGC00344622-15                         | SARS-CoV2 3CL Protease |      2.11     |
|  20  |                 NCGC00016060-08&NCGC00016060-11&NCGC00016060-14                 | SARS-CoV2 3CL Protease |      2.16     |
|  21  |                                 NCGC00380289-01                                 | SARS-CoV2 3CL Protease |      2.31     |
|  22  |                         NCGC00092344-05&NCGC00092344-07                         | SARS-CoV2 3CL Protease |      2.43     |
|  23  |                                 NCGC00380235-01                                 | SARS-CoV2 3CL Protease |      2.43     |
|  24  |                                 NCGC00183040-01                                 | SARS-CoV2 3CL Protease |      2.46     |
|  25  |                         NCGC00351607-02&NCGC00351607-06                         | SARS-CoV2 3CL Protease |      2.50     |
|  26  |                         NCGC00387801-02&NCGC00387801-04                         | SARS-CoV2 3CL Protease |      2.52     |
|  27  |                                 NCGC00485882-01                                 | SARS-CoV2 3CL Protease |      3.05     |
|  28  |                         NCGC00263884-02&NCGC00263884-08                         | SARS-CoV2 3CL Protease |      3.35     |
|  29  |                                 NCGC00274064-02                                 | SARS-CoV2 3CL Protease |      3.36     |
|  30  |                                 NCGC00274064-01                                 | SARS-CoV2 3CL Protease |      3.36     |
|  31  |                         NCGC00023373-03&NCGC00023373-10                         | SARS-CoV2 3CL Protease |      3.42     |
|  32  |                                 NCGC00510692-02                                 | SARS-CoV2 3CL Protease |      3.49     |
|  33  |                                 NCGC00346740-02                                 | SARS-CoV2 3CL Protease |      3.61     |
|  34  |                                 NCGC00167442-03                                 | SARS-CoV2 3CL Protease |      3.61     |
|  35  |                                 NCGC00485027-01                                 | SARS-CoV2 3CL Protease |      3.63     |
|  36  |                         NCGC00094082-04&NCGC00094082-08                         | SARS-CoV2 3CL Protease |      3.63     |
|  37  |                                 NCGC00015177-11                                 | SARS-CoV2 3CL Protease |      3.92     |
|  38  |                                 NCGC00386593-01                                 | SARS-CoV2 3CL Protease |      4.00     |
|  39  |                                 NCGC00242511-04                                 | SARS-CoV2 3CL Protease |      4.17     |
|  40  |                                 NCGC00378634-01                                 | SARS-CoV2 3CL Protease |      4.17     |
|  41  |                                 NCGC00015596-04                                 | SARS-CoV2 3CL Protease |      4.19     |
|  42  |                                 NCGC00015447-04                                 | SARS-CoV2 3CL Protease |      4.22     |
|  43  |                         NCGC00347217-01&NCGC00347217-03                         | SARS-CoV2 3CL Protease |      4.23     |
|  44  |                                 NCGC00247877-09                                 | SARS-CoV2 3CL Protease |      4.34     |
|  45  |                                 NCGC00182031-05                                 | SARS-CoV2 3CL Protease |      4.53     |
|  46  |                         NCGC00159461-07&NCGC00159461-08                         | SARS-CoV2 3CL Protease |      4.54     |
|  47  |                                 NCGC00247878-08                                 | SARS-CoV2 3CL Protease |      4.60     |
|  48  |                                 NCGC00346711-02                                 | SARS-CoV2 3CL Protease |      4.63     |
|  49  |                                 NCGC00263139-03                                 | SARS-CoV2 3CL Protease |      4.68     |
|  50  |                                 NCGC00378765-02                                 | SARS-CoV2 3CL Protease |      4.70     |
|  51  |                                 NCGC00485923-01                                 | SARS-CoV2 3CL Protease |      4.90     |
|  52  |                                 NCGC00485008-01                                 | SARS-CoV2 3CL Protease |      4.90     |
|  53  |                         NCGC00167465-02&NCGC00167465-07                         | SARS-CoV2 3CL Protease |      4.90     |
|  54  |                         NCGC00356803-11&NCGC00356803-12                         | SARS-CoV2 3CL Protease |      5.22     |
|  55  |                         NCGC00345798-03&NCGC00345798-06                         | SARS-CoV2 3CL Protease |      5.28     |
|  56  |                                 NCGC00378612-02                                 | SARS-CoV2 3CL Protease |      5.30     |
|  57  |                                 NCGC00476094-01                                 | SARS-CoV2 3CL Protease |      5.31     |
|  58  |                                 NCGC00022019-03                                 | SARS-CoV2 3CL Protease |      5.35     |
|  59  |                                 NCGC00386657-01                                 | SARS-CoV2 3CL Protease |      5.61     |
|  60  |                                 NCGC00378820-01                                 | SARS-CoV2 3CL Protease |      5.63     |
|  61  |                 NCGC00091544-12&NCGC00091544-18&NCGC00091544-23                 | SARS-CoV2 3CL Protease |      5.82     |
|  62  |                                 NCGC00018249-05                                 | SARS-CoV2 3CL Protease |      6.52     |
|  63  |                         NCGC00346602-01&NCGC00346602-02                         | SARS-CoV2 3CL Protease |      6.64     |
|  64  |                                 NCGC00485922-01                                 | SARS-CoV2 3CL Protease |      6.69     |
|  65  |                                 NCGC00015318-05                                 | SARS-CoV2 3CL Protease |      7.06     |
|  66  |                                 NCGC00378782-02                                 | SARS-CoV2 3CL Protease |      7.18     |
|  67  |                                 NCGC00485016-01                                 | SARS-CoV2 3CL Protease |      7.27     |
|  68  |                                 NCGC00344556-01                                 | SARS-CoV2 3CL Protease |      7.40     |
|  69  |                                 NCGC00496840-01                                 | SARS-CoV2 3CL Protease |      7.65     |
|  70  |                                 NCGC00162078-02                                 | SARS-CoV2 3CL Protease |      7.70     |
|  71  |                                 NCGC00179392-03                                 | SARS-CoV2 3CL Protease |      7.70     |
|  72  |                                 NCGC00253588-01                                 | SARS-CoV2 3CL Protease |      7.74     |
|  73  |                         NCGC00263565-01&NCGC00263565-06                         | SARS-CoV2 3CL Protease |      7.77     |
|  74  |                                 NCGC00379073-05                                 | SARS-CoV2 3CL Protease |      7.85     |
|  75  |                                 NCGC00163474-07                                 | SARS-CoV2 3CL Protease |      7.87     |
|  76  |                                 NCGC00169033-03                                 | SARS-CoV2 3CL Protease |      8.49     |
|  77  |                                 NCGC00094321-03                                 | SARS-CoV2 3CL Protease |      8.62     |
|  78  |                         NCGC00021580-07&NCGC00178404-03                         | SARS-CoV2 3CL Protease |      8.75     |
|  79  |                                 NCGC00179359-04                                 | SARS-CoV2 3CL Protease |      8.80     |
|  80  |                                 NCGC00485419-01                                 | SARS-CoV2 3CL Protease |      9.11     |
|  81  |                 NCGC00016092-09&NCGC00016092-13&NCGC00261914-01                 | SARS-CoV2 3CL Protease |      9.29     |
|  82  |                                 NCGC00379241-02                                 | SARS-CoV2 3CL Protease |      9.32     |
|  83  |                                 NCGC00253603-01                                 | SARS-CoV2 3CL Protease |      9.52     |
|  84  |                                 NCGC00390266-01                                 | SARS-CoV2 3CL Protease |     10.00     |
|  85  |                         NCGC00241455-04&NCGC00241455-08                         | SARS-CoV2 3CL Protease |     10.05     |
|  86  |                                 NCGC00485834-01                                 | SARS-CoV2 3CL Protease |     10.35     |
|  87  |                                 NCGC00183872-01                                 | SARS-CoV2 3CL Protease |     10.37     |
|  88  |                         NCGC00378640-02&NCGC00378640-03                         | SARS-CoV2 3CL Protease |     10.67     |
|  89  |                                 MLS002703591-02                                 | SARS-CoV2 3CL Protease |     10.82     |
|  90  |                                 NCGC00385281-01                                 | SARS-CoV2 3CL Protease |     10.90     |
|  91  |                                 NCGC00378837-01                                 | SARS-CoV2 3CL Protease |     10.99     |
|  92  |                                 NCGC00378796-01                                 | SARS-CoV2 3CL Protease |     11.20     |
|  93  |                                 NCGC00344378-02                                 | SARS-CoV2 3CL Protease |     11.26     |
|  94  |                                 NCGC00159349-15                                 | SARS-CoV2 3CL Protease |     11.26     |
|  95  |                                 NCGC00253576-01                                 | SARS-CoV2 3CL Protease |     11.28     |
|  96  |                         NCGC00013556-15&NCGC00021752-04                         | SARS-CoV2 3CL Protease |     11.29     |
|  97  |                                 NCGC00378866-01                                 | SARS-CoV2 3CL Protease |     11.54     |
|  98  |                                 NCGC00179652-04                                 | SARS-CoV2 3CL Protease |     11.55     |
|  99  |                                 NCGC00408856-01                                 | SARS-CoV2 3CL Protease |     11.56     |
| 100  |                                 NCGC00522021-01                                 | SARS-CoV2 3CL Protease |     11.79     |
| 101  |                         NCGC00162342-04&NCGC00162342-05                         | SARS-CoV2 3CL Protease |     11.83     |
| 102  |                         NCGC00022697-03&NCGC00386157-02                         | SARS-CoV2 3CL Protease |     11.83     |
| 103  |                         NCGC00485486-01&NCGC00485486-02                         | SARS-CoV2 3CL Protease |     11.86     |
| 104  |                         NCGC00017331-05&NCGC00017331-07                         | SARS-CoV2 3CL Protease |     12.09     |
| 105  |                                 NCGC00017331-08                                 | SARS-CoV2 3CL Protease |     12.09     |
| 106  |                         NCGC00024714-06&NCGC00024714-11                         | SARS-CoV2 3CL Protease |     12.23     |
| 107  |                                 NCGC00485891-01                                 | SARS-CoV2 3CL Protease |     12.53     |
| 108  |                                 NCGC00379202-06                                 | SARS-CoV2 3CL Protease |     13.10     |
| 109  |                                 NCGC00095023-08                                 | SARS-CoV2 3CL Protease |     13.12     |
| 110  |                                 NCGC00093771-04                                 | SARS-CoV2 3CL Protease |     13.26     |
| 111  |                                 NCGC00485085-01                                 | SARS-CoV2 3CL Protease |     13.27     |
| 112  |                                 NCGC00015513-11                                 | SARS-CoV2 3CL Protease |     13.48     |
| 113  |                                 NCGC00167559-01                                 | SARS-CoV2 3CL Protease |     13.67     |
| 114  |                                 NCGC00385645-01                                 | SARS-CoV2 3CL Protease |     14.14     |
| 115  |                                 NCGC00242489-02                                 | SARS-CoV2 3CL Protease |     14.29     |
| 116  |                                 NCGC00480770-01                                 | SARS-CoV2 3CL Protease |     14.44     |
| 117  |                         NCGC00167441-02&NCGC00167441-07                         | SARS-CoV2 3CL Protease |     14.54     |
| 118  |                         NCGC00016256-17&NCGC00016256-20                         | SARS-CoV2 3CL Protease |     14.67     |
| 119  |                                 NCGC00385294-01                                 | SARS-CoV2 3CL Protease |     14.77     |
| 120  |                                 NCGC00159360-03                                 | SARS-CoV2 3CL Protease |     14.80     |
| 121  |                         NCGC00159443-01&NCGC00159443-05                         | SARS-CoV2 3CL Protease |     14.80     |
| 122  |                         NCGC00015917-09&NCGC00261848-01                         | SARS-CoV2 3CL Protease |     15.21     |
| 123  |                         NCGC00163470-27&NCGC00163470-28                         | SARS-CoV2 3CL Protease |     15.30     |
| 124  |                                 NCGC00385607-01                                 | SARS-CoV2 3CL Protease |     15.38     |
| 125  |                                 NCGC00261048-01                                 | SARS-CoV2 3CL Protease |     15.66     |
| 126  |                                 NCGC00378635-03                                 | SARS-CoV2 3CL Protease |     15.72     |
| 127  |                                 NCGC00380715-01                                 | SARS-CoV2 3CL Protease |     16.19     |
| 128  |                                 NCGC00025262-02                                 | SARS-CoV2 3CL Protease |     16.26     |
| 129  |                                 NCGC00386480-01                                 | SARS-CoV2 3CL Protease |     16.42     |
| 130  |                                 NCGC00347653-02                                 | SARS-CoV2 3CL Protease |     16.84     |
| 131  |                                 NCGC00384808-01                                 | SARS-CoV2 3CL Protease |     17.07     |
| 132  |                                 NCGC00379076-01                                 | SARS-CoV2 3CL Protease |     17.09     |
| 133  |                 NCGC00016055-11&NCGC00016055-12&NCGC00016055-16                 | SARS-CoV2 3CL Protease |     17.17     |
| 134  |                                 NCGC00023909-06                                 | SARS-CoV2 3CL Protease |     17.25     |
| 135  |                                 NCGC00389714-01                                 | SARS-CoV2 3CL Protease |     17.46     |
| 136  |                                 NCGC00263149-06                                 | SARS-CoV2 3CL Protease |     17.46     |
| 137  |                                 NCGC00162274-03                                 | SARS-CoV2 3CL Protease |     17.61     |
| 138  |                         NCGC00024427-05&NCGC00024427-09                         | SARS-CoV2 3CL Protease |     17.61     |
| 139  |                                 NCGC00162094-03                                 | SARS-CoV2 3CL Protease |     17.66     |
| 140  |                                 NCGC00093684-06                                 | SARS-CoV2 3CL Protease |     17.66     |
| 141  |                         NCGC00091019-19&NCGC00091019-23                         | SARS-CoV2 3CL Protease |     17.66     |
| 142  |                                 NCGC00186029-01                                 | SARS-CoV2 3CL Protease |     17.71     |
| 143  |                 NCGC00263152-05&NCGC00263152-12&NCGC00263152-14                 | SARS-CoV2 3CL Protease |     18.01     |
| 144  |                                 NCGC00380718-01                                 | SARS-CoV2 3CL Protease |     18.20     |
| 145  |                                 NCGC00021193-03                                 | SARS-CoV2 3CL Protease |     18.56     |
| 146  |                         NCGC00018204-10&NCGC00018204-13                         | SARS-CoV2 3CL Protease |     18.67     |
| 147  |                                 NCGC00485892-01                                 | SARS-CoV2 3CL Protease |     19.20     |
| 148  |                                 NCGC00025223-03                                 | SARS-CoV2 3CL Protease |     19.20     |
| 149  |                                 NCGC00183597-01                                 | SARS-CoV2 3CL Protease |     19.27     |
| 150  |                                 NCGC00378654-01                                 | SARS-CoV2 3CL Protease |     19.59     |
| 151  |                         NCGC00017280-37&NCGC00261746-01                         | SARS-CoV2 3CL Protease |     19.81     |
| 152  |                                 NCGC00386142-01                                 | SARS-CoV2 3CL Protease |     19.81     |
| 153  |                 NCGC00094358-05&NCGC00094358-38&NCGC00261766-01                 | SARS-CoV2 3CL Protease |     19.81     |
| 154  |                                 NCGC00485929-01                                 | SARS-CoV2 3CL Protease |     19.85     |
| 155  |                         NCGC00016740-14&NCGC00016740-18                         | SARS-CoV2 3CL Protease |     19.90     |
| 156  |                                 NCGC00378567-02                                 | SARS-CoV2 3CL Protease |     20.03     |
| 157  |                                 NCGC00344550-03                                 | SARS-CoV2 3CL Protease |     20.06     |
| 158  |                                 NCGC00162095-02                                 | SARS-CoV2 3CL Protease |     20.13     |
| 159  |                                 NCGC00378944-02                                 | SARS-CoV2 3CL Protease |     20.24     |
| 160  |                                 NCGC00168771-04                                 | SARS-CoV2 3CL Protease |     20.24     |
| 161  |                                 NCGC00485029-01                                 | SARS-CoV2 3CL Protease |     20.26     |
| 162  |                         NCGC00242490-05&NCGC00261745-01                         | SARS-CoV2 3CL Protease |     20.31     |
| 163  |                                 NCGC00015391-06                                 | SARS-CoV2 3CL Protease |     20.40     |
| 164  |                 NCGC00164789-02&NCGC00164789-04&NCGC00164789-05                 | SARS-CoV2 3CL Protease |     20.41     |
| 165  |                                 NCGC00167457-02                                 | SARS-CoV2 3CL Protease |     20.77     |
| 166  |                                 NCGC00384598-01                                 | SARS-CoV2 3CL Protease |     21.16     |
| 167  |                                 NCGC00186041-01                                 | SARS-CoV2 3CL Protease |     21.24     |
| 168  |                         NCGC00388522-02&NCGC00388522-04                         | SARS-CoV2 3CL Protease |     21.24     |
| 169  |                                 NCGC00379229-03                                 | SARS-CoV2 3CL Protease |     21.94     |
| 170  |                         NCGC00163411-06&NCGC00163411-07                         | SARS-CoV2 3CL Protease |     22.17     |
| 171  |                                 NCGC00390351-01                                 | SARS-CoV2 3CL Protease |     22.32     |
| 172  |                                 NCGC00015169-03                                 | SARS-CoV2 3CL Protease |     22.73     |
| 173  |                                 NCGC00017385-06                                 | SARS-CoV2 3CL Protease |     22.73     |
| 174  |                                 NCGC00380997-01                                 | SARS-CoV2 3CL Protease |     22.89     |
| 175  |                                 NCGC00182058-01                                 | SARS-CoV2 3CL Protease |     23.07     |
| 176  |                                 NCGC00370844-01                                 | SARS-CoV2 3CL Protease |     23.42     |
| 177  |                                 NCGC00261823-01                                 | SARS-CoV2 3CL Protease |     23.42     |
| 178  |                 NCGC00015026-12&NCGC00015026-16&NCGC00260727-01                 | SARS-CoV2 3CL Protease |     23.43     |
| 179  |                                 NCGC00386240-01                                 | SARS-CoV2 3CL Protease |     23.43     |
| 180  |                                 NCGC00178783-03                                 | SARS-CoV2 3CL Protease |     23.43     |
| 181  |                                 NCGC00385525-01                                 | SARS-CoV2 3CL Protease |     23.43     |
| 182  |                                 NCGC00386907-01                                 | SARS-CoV2 3CL Protease |     24.13     |
| 183  |                                 NCGC00162400-09                                 | SARS-CoV2 3CL Protease |     24.16     |
| 184  |                                 NCGC00346606-02                                 | SARS-CoV2 3CL Protease |     24.28     |
| 185  |                                 NCGC00379172-01                                 | SARS-CoV2 3CL Protease |     24.30     |
| 186  |                         NCGC00253867-02&NCGC00253867-11                         | SARS-CoV2 3CL Protease |     24.31     |
| 187  |                                 NCGC00261735-01                                 | SARS-CoV2 3CL Protease |     24.53     |
| 188  |                 NCGC00015966-10&NCGC00024853-06&NCGC00024853-09                 | SARS-CoV2 3CL Protease |     24.53     |
| 189  |                         NCGC00386210-03&NCGC00386210-06                         | SARS-CoV2 3CL Protease |     24.71     |
| 190  |                                 NCGC00483929-01                                 | SARS-CoV2 3CL Protease |     25.16     |
| 191  |                                 NCGC00485045-01                                 | SARS-CoV2 3CL Protease |     25.18     |
| 192  |                                 NCGC00386283-04                                 | SARS-CoV2 3CL Protease |     25.76     |
| 193  |                                 NCGC00386885-01                                 | SARS-CoV2 3CL Protease |     25.83     |
| 194  |                                 NCGC00389480-01                                 | SARS-CoV2 3CL Protease |     25.93     |
| 195  |                                 NCGC00373230-02                                 | SARS-CoV2 3CL Protease |     25.93     |
| 196  |                                 NCGC00249903-01                                 | SARS-CoV2 3CL Protease |     26.30     |
| 197  |                                 NCGC00025303-04                                 | SARS-CoV2 3CL Protease |     26.36     |
| 198  |                                 NCGC00378895-01                                 | SARS-CoV2 3CL Protease |     26.66     |
| 199  |                                 NCGC00485961-01                                 | SARS-CoV2 3CL Protease |     26.81     |
| 200  |                                 NCGC00183855-01                                 | SARS-CoV2 3CL Protease |     27.06     |
| 201  |                         NCGC00263183-02&NCGC00263183-10                         | SARS-CoV2 3CL Protease |     27.14     |
| 202  |                                 NCGC00021666-04                                 | SARS-CoV2 3CL Protease |     27.39     |
| 203  |                                 NCGC00163732-03                                 | SARS-CoV2 3CL Protease |     27.51     |
| 204  |                                 NCGC00162293-02                                 | SARS-CoV2 3CL Protease |     28.06     |
