| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
|  1   |                                 NCGC00384598-01                                 | SARS-CoV2 3CL Protease |      3.02     |
|  2   |                                 NCGC00485008-01                                 | SARS-CoV2 3CL Protease |      3.11     |
|  3   |                                 NCGC00378634-01                                 | SARS-CoV2 3CL Protease |      4.40     |
|  4   |                                 NCGC00186041-01                                 | SARS-CoV2 3CL Protease |      4.82     |
|  5   |                                 NCGC00380715-01                                 | SARS-CoV2 3CL Protease |      5.66     |
|  6   |                                 NCGC00386547-01                                 | SARS-CoV2 3CL Protease |      5.72     |
|  7   |                                 NCGC00485922-01                                 | SARS-CoV2 3CL Protease |      5.74     |
|  8   |                         NCGC00163411-06&NCGC00163411-07                         | SARS-CoV2 3CL Protease |      6.62     |
|  9   |                                 NCGC00380833-01                                 | SARS-CoV2 3CL Protease |      9.26     |
|  10  |                                 NCGC00380997-01                                 | SARS-CoV2 3CL Protease |      9.48     |
|  11  |                                 NCGC00380525-01                                 | SARS-CoV2 3CL Protease |     11.46     |
|  12  |                                 NCGC00094321-03                                 | SARS-CoV2 3CL Protease |     11.71     |
|  13  |                                 NCGC00168777-04                                 | SARS-CoV2 3CL Protease |     11.91     |
|  14  |                         NCGC00167465-02&NCGC00167465-07                         | SARS-CoV2 3CL Protease |     12.06     |
|  15  |                                 NCGC00167559-01                                 | SARS-CoV2 3CL Protease |     12.57     |
|  16  |                         NCGC00346602-01&NCGC00346602-02                         | SARS-CoV2 3CL Protease |     12.59     |
|  17  |                                 NCGC00183040-01                                 | SARS-CoV2 3CL Protease |     12.88     |
|  18  |                                 NCGC00162293-02                                 | SARS-CoV2 3CL Protease |     13.09     |
|  19  |                         NCGC00179578-03&NCGC00179578-11                         | SARS-CoV2 3CL Protease |     15.05     |
|  20  |                                 NCGC00345085-02                                 | SARS-CoV2 3CL Protease |     16.39     |
|  21  |                 NCGC00016060-08&NCGC00016060-11&NCGC00016060-14                 | SARS-CoV2 3CL Protease |     17.94     |
|  22  |                                 NCGC00017360-04                                 | SARS-CoV2 3CL Protease |     19.72     |
|  23  |                                 NCGC00022408-04                                 | SARS-CoV2 3CL Protease |     20.84     |
|  24  |                                 NCGC00163732-03                                 | SARS-CoV2 3CL Protease |     21.92     |
|  25  |                         NCGC00093802-06&NCGC00093802-09                         | SARS-CoV2 3CL Protease |     22.02     |
|  26  |                                 NCGC00024732-04                                 | SARS-CoV2 3CL Protease |     22.04     |
|  27  |                                 NCGC00347612-02                                 | SARS-CoV2 3CL Protease |     22.78     |
|  28  |                                 NCGC00168773-02                                 | SARS-CoV2 3CL Protease |     23.60     |
|  29  |                                 NCGC00371069-01                                 | SARS-CoV2 3CL Protease |     23.74     |
|  30  |                                 NCGC00380717-01                                 | SARS-CoV2 3CL Protease |     24.42     |
|  31  |                         NCGC00386210-03&NCGC00386210-06                         | SARS-CoV2 3CL Protease |     25.31     |
|  32  |                                 NCGC00379121-02                                 | SARS-CoV2 3CL Protease |     25.48     |
|  33  |                                 NCGC00522021-01                                 | SARS-CoV2 3CL Protease |     26.36     |
|  34  |                                 NCGC00159360-03                                 | SARS-CoV2 3CL Protease |     26.42     |
|  35  |                         NCGC00094082-04&NCGC00094082-08                         | SARS-CoV2 3CL Protease |     26.73     |
|  36  |                                 NCGC00179475-03                                 | SARS-CoV2 3CL Protease |     27.04     |
|  37  |                                 NCGC00380642-01                                 | SARS-CoV2 3CL Protease |     28.05     |
|  38  |                                 NCGC00169614-02                                 | SARS-CoV2 3CL Protease |     28.35     |
|  39  |                                 NCGC00485847-01                                 | SARS-CoV2 3CL Protease |     28.45     |
|  40  |                                 NCGC00263936-02                                 | SARS-CoV2 3CL Protease |     28.73     |
|  41  |                                 NCGC00385054-01                                 | SARS-CoV2 3CL Protease |     30.31     |
|  42  |                                 NCGC00386140-01                                 | SARS-CoV2 3CL Protease |     30.88     |
|  43  |                         NCGC00164632-02&NCGC00164632-07                         | SARS-CoV2 3CL Protease |     31.33     |
|  44  |                                 NCGC00253603-01                                 | SARS-CoV2 3CL Protease |     31.53     |
|  45  |                                 NCGC00179665-04                                 | SARS-CoV2 3CL Protease |     31.94     |
|  46  |                                 NCGC00180415-03                                 | SARS-CoV2 3CL Protease |     32.34     |
|  47  |                                 NCGC00163654-01                                 | SARS-CoV2 3CL Protease |     32.66     |
|  48  |                                 NCGC00381407-02                                 | SARS-CoV2 3CL Protease |     32.92     |
|  49  |                                 NCGC00385921-01                                 | SARS-CoV2 3CL Protease |     32.98     |
|  50  |                                 NCGC00168853-03                                 | SARS-CoV2 3CL Protease |     33.49     |
|  51  |                         NCGC00346673-02&NCGC00346673-05                         | SARS-CoV2 3CL Protease |     33.63     |
|  52  |                                 NCGC00188442-01                                 | SARS-CoV2 3CL Protease |     33.97     |
|  53  |                                 NCGC00168778-06                                 | SARS-CoV2 3CL Protease |     34.18     |
|  54  |                         NCGC00023193-06&NCGC00023193-11                         | SARS-CoV2 3CL Protease |     35.05     |
|  55  |                                 NCGC00094453-03                                 | SARS-CoV2 3CL Protease |     35.98     |
|  56  |                                 NCGC00162094-03                                 | SARS-CoV2 3CL Protease |     36.02     |
|  57  |                                 NCGC00485193-01                                 | SARS-CoV2 3CL Protease |     36.43     |
|  58  |                         NCGC00021761-05&NCGC00021761-06                         | SARS-CoV2 3CL Protease |     36.48     |
|  59  |                                 NCGC00159349-15                                 | SARS-CoV2 3CL Protease |     36.75     |
|  60  |                         NCGC00179244-03&NCGC00179244-11                         | SARS-CoV2 3CL Protease |     36.80     |
|  61  |                                 NCGC00485262-01                                 | SARS-CoV2 3CL Protease |     37.28     |
|  62  |                                 NCGC00346711-02                                 | SARS-CoV2 3CL Protease |     38.03     |
|  63  |                                 NCGC00263108-02                                 | SARS-CoV2 3CL Protease |     38.06     |
|  64  |                                 NCGC00389480-01                                 | SARS-CoV2 3CL Protease |     39.19     |
|  65  |                                 NCGC00384481-01                                 | SARS-CoV2 3CL Protease |     39.42     |
|  66  |                                 NCGC00384675-01                                 | SARS-CoV2 3CL Protease |     40.40     |
|  67  |                                 NCGC00371001-05                                 | SARS-CoV2 3CL Protease |     41.36     |
|  68  |                                 NCGC00347740-02                                 | SARS-CoV2 3CL Protease |     41.63     |
|  69  |                                 NCGC00384683-01                                 | SARS-CoV2 3CL Protease |     41.71     |
|  70  |                                 NCGC00347611-02                                 | SARS-CoV2 3CL Protease |     41.96     |
|  71  |                                 NCGC00181091-01                                 | SARS-CoV2 3CL Protease |     42.21     |
|  72  |                                 NCGC00249919-01                                 | SARS-CoV2 3CL Protease |     42.47     |
|  73  |                                 NCGC00159320-04                                 | SARS-CoV2 3CL Protease |     43.37     |
|  74  |                                 NCGC00380862-01                                 | SARS-CoV2 3CL Protease |     44.75     |
|  75  |                                 NCGC00186632-01                                 | SARS-CoV2 3CL Protease |     46.12     |
|  76  |                                 NCGC00249903-01                                 | SARS-CoV2 3CL Protease |     47.35     |
|  77  |                                 NCGC00385927-01                                 | SARS-CoV2 3CL Protease |     47.76     |
|  78  |                                 NCGC00507799-01                                 | SARS-CoV2 3CL Protease |     47.94     |
|  79  |                         NCGC00017326-05&NCGC00017332-06                         | SARS-CoV2 3CL Protease |     48.03     |
|  80  |                                 NCGC00163474-07                                 | SARS-CoV2 3CL Protease |     48.45     |
|  81  |                                 NCGC00380427-01                                 | SARS-CoV2 3CL Protease |     48.92     |
|  82  |                                 NCGC00161634-09                                 | SARS-CoV2 3CL Protease |     49.36     |
|  83  |                                 NCGC00370846-01                                 | SARS-CoV2 3CL Protease |     49.49     |
|  84  |                                 NCGC00384597-02                                 | SARS-CoV2 3CL Protease |     49.91     |
|  85  |                                 NCGC00385928-01                                 | SARS-CoV2 3CL Protease |     50.30     |
|  86  |                                 NCGC00378782-02                                 | SARS-CoV2 3CL Protease |     50.67     |
|  87  |                                 NCGC00021193-03                                 | SARS-CoV2 3CL Protease |     51.52     |
|  88  |                                 NCGC00182544-01                                 | SARS-CoV2 3CL Protease |     52.33     |
|  89  |                                 NCGC00017338-03                                 | SARS-CoV2 3CL Protease |     52.81     |
|  90  |                         NCGC00162085-04&NCGC00260872-01                         | SARS-CoV2 3CL Protease |     53.16     |
|  91  |                                 NCGC00263875-02                                 | SARS-CoV2 3CL Protease |     53.41     |
|  92  |                                 NCGC00384842-01                                 | SARS-CoV2 3CL Protease |     53.63     |
|  93  |                                 NCGC00385072-01                                 | SARS-CoV2 3CL Protease |     53.82     |
|  94  |                                 NCGC00511386-01                                 | SARS-CoV2 3CL Protease |     54.39     |
|  95  |                                 NCGC00182058-03                                 | SARS-CoV2 3CL Protease |     54.48     |
|  96  |                                 NCGC00344549-05                                 | SARS-CoV2 3CL Protease |     55.64     |
|  97  |                                 NCGC00017223-05                                 | SARS-CoV2 3CL Protease |     56.59     |
|  98  |                                 NCGC00347822-02                                 | SARS-CoV2 3CL Protease |     57.41     |
|  99  |                                 NCGC00390340-01                                 | SARS-CoV2 3CL Protease |     57.82     |
| 100  |                                 NCGC00017385-06                                 | SARS-CoV2 3CL Protease |     57.89     |
| 101  |                                 NCGC00380305-01                                 | SARS-CoV2 3CL Protease |     59.38     |
| 102  |                                 NCGC00507862-01                                 | SARS-CoV2 3CL Protease |     59.64     |
| 103  |                                 NCGC00022019-03                                 | SARS-CoV2 3CL Protease |     59.93     |
| 104  |                                 NCGC00510518-01                                 | SARS-CoV2 3CL Protease |     60.54     |
| 105  |                                 NCGC00093633-03                                 | SARS-CoV2 3CL Protease |     60.63     |
| 106  |                                 NCGC00485979-01                                 | SARS-CoV2 3CL Protease |     60.68     |
| 107  |                                 NCGC00024976-06                                 | SARS-CoV2 3CL Protease |     61.95     |
| 108  |                                 NCGC00167979-01                                 | SARS-CoV2 3CL Protease |     62.41     |
| 109  |                                 NCGC00485929-01                                 | SARS-CoV2 3CL Protease |     62.81     |
| 110  |                                 NCGC00385645-01                                 | SARS-CoV2 3CL Protease |     62.89     |
| 111  |                                 NCGC00378611-03                                 | SARS-CoV2 3CL Protease |     62.89     |
| 112  |                                 NCGC00385970-01                                 | SARS-CoV2 3CL Protease |     63.01     |
| 113  |                                 NCGC00183597-01                                 | SARS-CoV2 3CL Protease |     63.13     |
| 114  |                                 NCGC00095139-04                                 | SARS-CoV2 3CL Protease |     63.63     |
| 115  |                                 NCGC00380451-01                                 | SARS-CoV2 3CL Protease |     64.27     |
| 116  |                                 NCGC00261273-01                                 | SARS-CoV2 3CL Protease |     65.28     |
| 117  |                                 NCGC00261971-01                                 | SARS-CoV2 3CL Protease |     65.30     |
| 118  |                                 NCGC00380930-01                                 | SARS-CoV2 3CL Protease |     65.60     |
| 119  |                                 NCGC00380176-01                                 | SARS-CoV2 3CL Protease |     65.73     |
| 120  |                                 NCGC00015187-02                                 | SARS-CoV2 3CL Protease |     65.82     |
| 121  |                                 NCGC00024357-07                                 | SARS-CoV2 3CL Protease |     65.84     |
| 122  |                                 NCGC00159504-04                                 | SARS-CoV2 3CL Protease |     66.03     |
| 123  |                                 NCGC00347586-02                                 | SARS-CoV2 3CL Protease |     66.06     |
| 124  |                                 NCGC00384641-01                                 | SARS-CoV2 3CL Protease |     66.31     |
| 125  |                                 MLS002694957-02                                 | SARS-CoV2 3CL Protease |     66.83     |
| 126  |                                 NCGC00482976-01                                 | SARS-CoV2 3CL Protease |     67.03     |
| 127  |                         NCGC00346502-04&NCGC00346502-06                         | SARS-CoV2 3CL Protease |     68.71     |
| 128  |                                 NCGC00384925-01                                 | SARS-CoV2 3CL Protease |     69.00     |
| 129  |                                 NCGC00381045-01                                 | SARS-CoV2 3CL Protease |     69.12     |
| 130  |                         NCGC00163125-06&NCGC00163125-13                         | SARS-CoV2 3CL Protease |     69.58     |
| 131  |                                 NCGC00485984-01                                 | SARS-CoV2 3CL Protease |     70.23     |
| 132  |                                 NCGC00274064-02                                 | SARS-CoV2 3CL Protease |     70.52     |
| 133  |                                 NCGC00385258-01                                 | SARS-CoV2 3CL Protease |     70.60     |
| 134  |                                 NCGC00018166-02                                 | SARS-CoV2 3CL Protease |     70.80     |
| 135  |                                 NCGC00018249-05                                 | SARS-CoV2 3CL Protease |     70.93     |
| 136  |                                 NCGC00380134-01                                 | SARS-CoV2 3CL Protease |     71.49     |
| 137  |                                 NCGC00380943-01                                 | SARS-CoV2 3CL Protease |     72.13     |
| 138  |                                 NCGC00381026-01                                 | SARS-CoV2 3CL Protease |     73.35     |
| 139  |                                 NCGC00016686-07                                 | SARS-CoV2 3CL Protease |     74.17     |
| 140  |                                 NCGC00263176-03                                 | SARS-CoV2 3CL Protease |     74.47     |
| 141  |                                 NCGC00182066-02                                 | SARS-CoV2 3CL Protease |     76.59     |
| 142  |                                 NCGC00385876-01                                 | SARS-CoV2 3CL Protease |     76.93     |
| 143  |                                 NCGC00274271-01                                 | SARS-CoV2 3CL Protease |     77.67     |
| 144  |                                 NCGC00356070-01                                 | SARS-CoV2 3CL Protease |     77.87     |
| 145  |                                 NCGC00261400-01                                 | SARS-CoV2 3CL Protease |     78.33     |
| 146  |                                 NCGC00485985-01                                 | SARS-CoV2 3CL Protease |     78.57     |
| 147  |                                 NCGC00386261-01                                 | SARS-CoV2 3CL Protease |     78.93     |
| 148  |                         NCGC00166307-05&NCGC00166307-06                         | SARS-CoV2 3CL Protease |     78.96     |
| 149  |                         NCGC00346666-01&NCGC00346666-03                         | SARS-CoV2 3CL Protease |     79.12     |
| 150  |                                 NCGC00387110-02                                 | SARS-CoV2 3CL Protease |     79.61     |
| 151  |                                 NCGC00165856-03                                 | SARS-CoV2 3CL Protease |     79.65     |
| 152  |                                 NCGC00506803-01                                 | SARS-CoV2 3CL Protease |     79.77     |
| 153  |                                 NCGC00178783-03                                 | SARS-CoV2 3CL Protease |     80.26     |
| 154  |                         NCGC00385492-01&NCGC00385492-02                         | SARS-CoV2 3CL Protease |     80.88     |
| 155  |                                 NCGC00169148-03                                 | SARS-CoV2 3CL Protease |     81.13     |
